DbId,FolderName,IsListed,IsEnabled,TvPath,TvTitle,Order,MetadataConfigUrl,TreeviewId,IsOpenOnInit,DisabledReason,Description
,Ordnance Survey National Grid,True,True,/,Ordnance Survey National Grid,0.0,,1,False,,
,Administrative Areas,True,True,/,Administrative Areas,1.0,,1,False,,
,ClimateJust,True,True,/,ClimateJust,2000.0,https://nerc-digital-solutions-hub.github.io/dsh-metadata/UPRN/ClimateJust/info.json,2,True,,
,Noise Levels,True,True,/,Noise Levels,3000.0,https://nerc-digital-solutions-hub.github.io/dsh-metadata/UPRN/DEFRA/Noise/Level3/EN_Noise_Action_Planning_Important_Areas_Round_3.json,2,False,,
,UK Air - Modelled Background Pollution,True,True,/,UK Air - Modelled Background Pollution,4000.0,https://nerc-digital-solutions-hub.github.io/dsh-metadata/UPRN/DEFRA/ModelledBackgroundPollution/info.json,2,False,,
,AQREAN,True,True,/,AQREAN,7000.0,https://nerc-digital-solutions-hub.github.io/dsh-metadata/UPRN/MetOffice/AQREAN/info.json,2,False,,
,Surface Level,True,True,/AQREAN,Surface Level,0.0,https://nerc-digital-solutions-hub.github.io/dsh-metadata/UPRN/MetOffice/AQREAN/Annual/SL/info.json,2,False,,
,Surface Level - Bias Corrected,True,True,/AQREAN,Surface Level - Bias Corrected,100.0,https://nerc-digital-solutions-hub.github.io/dsh-metadata/UPRN/MetOffice/AQREAN/Annual/SL_BC/info.json,2,False,,
,Daily Measurements,True,True,/AQREAN/Surface Level,Daily Measurements,,,2,False,,
,Daily Measurements,True,True,/AQREAN/Surface Level - Bias Corrected,Daily Measurements,,,2,False,,
,Mass Concentration,True,True,/AQREAN/Surface Level,Mass Concentration,,,2,False,,
,Mass Concentration,True,True,/AQREAN/Surface Level - Bias Corrected,Mass Concentration,,,2,False,,
